"efo_id","disease_full_name","number_of_associations"
"EFO_0003875","peripheral vascular disease",1322
"EFO_0003876","intermittent vascular claudication",127
"MONDO_0000831","thrombotic disease",1559
"MONDO_0000473","arterial disorder",6934
"EFO_1000816","aortitis",23
"EFO_1002032","primary hypertension",605
"MONDO_0011484","catecholaminergic polymorphic ventricular tachycardia 1",0
"Orphanet_93955","Benign essential blepharospasm",13
"MONDO_0100038","complex neurodevelopmental disorder",3050
"EFO_0005782","age-related hearing impairment",105
"Orphanet_178506","Brain calcification, Rajab type",92
"MONDO_0016428","multiple sclerosis variant",246
"EFO_0006347","pulmonary artery enlargement",71
"EFO_0009625","facial pain",34
"EFO_0005762","neuropathic pain",970
"EFO_0005269","congenital heart malformation",789
"Orphanet_860","Congenitally uncorrected transposition of the great arteries",78
"HP_0011458","Abdominal symptom",1733
"HP_0030897","Decreased intestinal transit time",0
"HP_0002571","Achalasia",93
"HP_0001082","Cholecystitis",455
"HP_0005957","Breathing dysregulation",3
"MONDO_0019821","aneurysm or dilatation of ascending aorta",7
"EFO_0008323","hypocretin deficiency",0
"MONDO_0017705","congenital pulmonary venous return anomaly",4
"HP_0003119","Abnormal circulating lipid concentration",1284
"HP_0003146","Hypocholesterolemia",43
"MONDO_0032915","long QT syndrome 16",211
"HP_0003072","Hypercalcemia",185
"HP_0010313","Breast hypertrophy",49
"HP_0005879","Congenital finger flexion contractures",4
"HP_0005750","Contractures of the joints of the lower limbs",16
"HP_0000951","Abnormality of the skin",2298
"HP_0000960","Sacral dimple",1
"EFO_1000714","impetigo",126
"HP_0002208","Coarse hair",8
"HP_0004323","Abnormality of body weight",2148
"HP_0001824","Weight loss",1293
"HP_0008846","Severe intrauterine growth retardation",15
"EFO_0004723","coronary artery calcification",187
"HP_0001627","Abnormal heart morphology",728
"HP_0006695","Atrioventricular canal defect",39
"HP_0001693","Cardiac shunt",121
"HP_0001881","Abnormal leukocyte morphology",1099
"EFO_0005752","eye inflammation",142
"EFO_0005757","vaginal inflammation",173
"EFO_0010101","decreased susceptibility to hepatitis C infection",0
"EFO_0009875","thymus atrophy",113
"HP_0000079","Abnormality of the urinary system",2884
"HP_0012590","Abnormal urine output",325
"HP_0002817","Abnormality of the upper limb",467
"HP_0009601","Aplasia/Hypoplasia of the thumb",3
"HP_0200055","Small hand",24
"HP_0002970","Genu varum",109
"HP_0002980","Femoral bowing",6
"HP_0009736","Tibial pseudarthrosis",2
"HP_0001773","Short foot",13
"HP_0003065","Patellar hypoplasia",2
"EFO_0009426","necrosis",2403
"HP_0002756","Pathologic fracture",143
"HP_0000268","Dolichocephaly",18
"HP_0011451","Congenital microcephaly",62
"HP_0011821","Abnormality of facial skeleton",494
"HP_0000277","Abnormality of the mandible",212
"HP_0000160","Narrow mouth",20
"HP_0006337","Premature eruption of permanent teeth",0
"HP_0000680","Delayed eruption of primary teeth",2
"HP_0002000","Short columella",13
"HP_0001742","Nasal obstruction",56
"HP_0003196","Short nose",31
"HP_0012675","Iron accumulation in brain",17
"HP_0007333","Hypoplasia of the frontal lobes",1
"HP_0001256","Intellectual disability, mild",117
"HP_0001328","Specific learning disability",38
"HP_0011342","Mild global developmental delay",33
"HP_0012075","Personality disorder",280
"HP_0025234","Parasomnia",90
"HP_0000817","Poor eye contact",25
"HP_0006915","Inability to walk by childhood/adolescence",2
"HP_0002066","Gait ataxia",49
"HP_0002385","Paraparesis",77
"HP_0007256","Abnormal pyramidal sign",43
"HP_0007034","Generalized hyperreflexia",1
"HP_0001315","Reduced tendon reflexes",24
"HP_0002167","Neurological speech impairment",438
"HP_0003401","Paresthesia",51
"HP_0000666","Horizontal nystagmus",18
"HP_0007716","Uveal melanoma",0
"HP_0004329","Abnormal posterior eye segment morphology",729
"HP_0200065","Chorioretinal degeneration",264
"HP_0032547","Low intraocular pressure",94
"HP_0001123","Visual field defect",169
"EFO_0009850","masculinization of female, CTCAE",4
"HP_0000054","Micropenis",46
"HP_0030276","Small scrotum",2
"HP_0003010","Prolonged bleeding time",49
"HP_0011974","Myelofibrosis",5
"HP_0004936","Venous thrombosis",683
"EFO_0003907","deep vein thrombosis",338
"HP_0008527","Congenital sensorineural hearing impairment",40
"HP_0009908","Anterior creases of earlobe",6
"EFO_1000637","acute respiratory distress syndrome",691
"MONDO_0017023","secondary interstitial lung disease specific to childhood associated with a granulomatous disease",566
"EFO_1001991","pneumonitis",2441
"EFO_1000963","hemopneumothorax",0
"EFO_0009680","pleural empyema",25
"Orphanet_2005","Laryngo-tracheo-esophageal cleft - pulmonary hypoplasia",0
"MONDO_0001369","chronic laryngitis",1
"MONDO_0060720","congenital disorder of glycosylation with defective fucosylation",106
"Orphanet_371235","Congenital disorder of glycosylation with developmental anomaly",1835
"Orphanet_79316","Phosphoenolpyruvate carboxykinase 1 deficiency",11
"MONDO_0018605","disorders of pentose/polyol metabolism",203
"Orphanet_2843","Pentosuria",95
"Orphanet_298644","Disorder of thiamine metabolism and transport",424
"MONDO_0000461","nutritional biotin deficiency",21
"EFO_1001009","kwashiorkor",45
"EFO_0009080","x-linked ichthyosis with steryl-sulfatase deficiency",11
"Orphanet_183441","Genetic acrokeratoderma",111
"Orphanet_183481","Genetic mixed dermis disorder",1012
"MONDO_0032916","Imagawa-Matsumoto syndrome",53
"MONDO_0032925","respiratory papillomatosis, juvenile recurrent, congenital",1
"Orphanet_156619","Rare genetic urogenital disease",2815
"MONDO_0013543","trypsinogen deficiency",181
"Orphanet_289902","3-methylglutaconic aciduria",827
"Orphanet_289869","Disorder of ornithine metabolism",86
"Orphanet_268184","Thiamine-responsive maple syrup urine disease",11
"Orphanet_268173","Intermittent maple syrup urine disease",11
"Orphanet_284818","Disorder of tyrosine metabolism",130
"Orphanet_2168","Homocarnosinosis",162
"Orphanet_79156","Seizures - intellectual disability due to hydroxylysinuria",27
"MONDO_0002408","hereditary hyperbilirubinemia",274
"MONDO_0024306","acquired lactic acidosis",2
"MONDO_0029140","glycosylphosphatidylinositol biosynthesis defect 18",16
"MONDO_0060724","glycosylphosphatidylinositol biosynthesis defect 17",250
"EFO_0009073","methylmalonic aciduria (cobalamin deficiency) cblA type",21
"EFO_0004211","Hypertriglyceridemia",620
"Orphanet_1460","Isolated CoQ-cytochrome C reductase deficiency",324
